,,Overall,,Plant-mediated,,Soil-mediated,
Predictor,Geographic distance,Estimate,P,Estimate,P,Estimate,P
Replacement,,,,,,,
Geographic distance,40,-0.48,0.040,-0.47,0.053,-0.32,0.192
Climatic distance,40,0.41,0.076,0.56,0.022,0.13,0.922
pH distance,40,-0.16,0.592,-0.06,0.660,-0.27,0.303
Plant,40,0.52,0.031,0.49,0.034,0.35,0.199
Bacteria,40,0.63,0.042,0.36,0.168,0.75,0.027
Fungi,40,-0.27,0.206,-0.25,0.186,-0.16,0.540
Geographic distance,60,0.15,0.117,0.03,0.980,0.20,0.041
Climatic distance,60,0.18,0.109,0.28,0.037,0.10,0.400
pH distance,60,0.11,0.155,0.04,0.824,0.10,0.882
Plant,60,0.30,0.003,0.30,0.019,0.13,0.154
Bacteria,60,0.28,0.032,-0.03,0.980,0.40,0.002
Fungi,60,-0.02,0.863,0.06,0.686,-0.04,1.000
Geographic distance,80,0.14,0.095,0.09,0.843,0.14,0.115
Climatic distance,80,0.12,0.210,0.20,0.061,0.05,0.902
pH distance,80,0.04,0.745,-0.05,0.922,0.11,0.209
Plant,80,0.34,0.000,0.25,0.028,0.24,0.017
Bacteria,80,0.34,0.001,0.04,1.000,0.43,0.000
Fungi,80,-0.21,0.024,-0.16,0.119,-0.13,0.141
Geographic distance,100,-0.07,0.220,-0.04,0.638,-0.06,0.961
Climatic distance,100,0.00,1.000,0.05,0.941,0.00,0.941
pH distance,100,0.14,0.174,0.11,1.000,0.11,0.118
Plant,100,0.29,0.000,0.18,0.048,0.23,0.014
Bacteria,100,0.36,0.000,0.11,0.804,0.40,0.000
Fungi,100,-0.13,0.059,-0.09,0.541,-0.08,0.168
Geographic distance,120,-0.03,1.000,0.01,0.922,-0.06,0.258
Climatic distance,120,-0.03,1.000,-0.01,0.922,0.01,1.000
pH distance,120,0.07,0.173,0.06,0.462,0.07,0.229
Plant,120,0.21,0.009,0.15,0.076,0.14,0.521
Bacteria,120,0.41,0.000,0.13,0.124,0.47,0.000
Fungi,120,-0.08,0.109,-0.07,0.264,-0.03,0.784
Geographic distance,140,-0.04,0.240,-0.01,0.660,-0.07,0.863
Climatic distance,140,0.02,0.563,0.01,0.667,0.07,0.784
pH distance,140,0.05,0.482,0.03,0.902,0.06,0.219
Plant,140,0.15,0.240,0.12,0.029,0.09,0.462
Bacteria,140,0.45,0.000,0.16,0.046,0.51,0.000
Fungi,140,-0.04,0.725,-0.04,0.765,-0.01,0.980
Geographic distance,160,0.06,0.128,0.12,0.548,-0.01,0.863
Climatic distance,160,-0.01,1.000,-0.04,0.571,0.05,0.573
pH distance,160,0.11,0.102,0.08,0.311,0.11,0.133
Plant,160,0.17,0.002,0.17,0.000,0.08,0.362
Bacteria,160,0.40,0.000,0.12,0.273,0.50,0.000
Fungi,160,0.00,0.980,-0.01,0.980,0.02,0.902
Geographic distance,180,0.03,0.231,0.12,0.058,-0.05,0.280
Climatic distance,180,0.02,0.581,-0.03,0.363,0.06,1.000
pH distance,180,0.05,0.261,-0.04,1.000,0.11,0.025
Plant,180,0.13,0.000,0.12,0.028,0.06,0.131
Bacteria,180,0.40,0.000,0.13,0.152,0.49,0.000
Fungi,180,0.02,1.000,0.00,1.000,0.06,1.000
Geographic distance,200,0.03,0.638,0.11,0.961,-0.06,0.444
Climatic distance,200,0.01,1.000,-0.06,1.000,0.07,0.481
pH distance,200,0.06,0.148,-0.05,0.170,0.14,0.011
Plant,200,0.12,0.090,0.11,0.024,0.05,1.000
Bacteria,200,0.40,0.000,0.16,0.054,0.46,0.000
Fungi,200,0.04,0.980,0.01,1.000,0.08,1.000
Geographic distance,220,0.10,0.031,0.20,0.000,-0.02,0.667
Climatic distance,220,-0.01,0.655,-0.06,0.128,0.05,0.765
pH distance,220,0.09,0.623,-0.04,0.882,0.18,0.000
Plant,220,0.08,0.057,0.07,0.149,0.03,0.444
Bacteria,220,0.35,0.000,0.14,0.022,0.41,0.000
Fungi,220,0.01,0.961,-0.04,1.000,0.08,0.016
Geographic distance,240,0.08,0.045,0.16,0.028,-0.01,1.000
Climatic distance,240,-0.01,1.000,-0.06,0.264,0.05,1.000
pH distance,240,0.13,0.000,0.01,0.863,0.21,0.000
Plant,240,0.06,0.462,0.06,0.160,0.01,1.000
Bacteria,240,0.34,0.000,0.13,0.127,0.41,0.000
Fungi,240,0.05,0.086,0.00,0.902,0.11,0.000
Geographic distance,260,0.11,0.144,0.17,0.000,0.02,0.458
Climatic distance,260,0.02,1.000,-0.03,0.302,0.06,0.060
pH distance,260,0.12,0.006,0.00,0.922,0.20,0.000
Plant,260,0.04,0.660,0.02,0.444,0.02,0.745
Bacteria,260,0.33,0.000,0.13,0.043,0.41,0.000
Fungi,260,0.06,0.541,0.02,0.396,0.10,0.006
Geographic distance,280,0.09,0.081,0.10,0.141,0.05,0.108
