row,col,geo,clim,pH,EMF,EMF.plant,EMF.soil,plant.repl,plant.rich,plant.sor,bac.repl,bac.rich,bac.sor,bac.BC,fun.repl,fun.rich,fun.sor,fun.BC
Site2,Site1,42.27217748,1.443368539,0.501367832,3.705082631,3.103935791,2.023170755,0.266666667,0.2,0.466666667,0.681948424,0.003056351,0.685004776,0.635,0.231301751,0.092710737,0.324012488,0.608260163
Site3,Site1,71.23725956,1.090174779,0.235016171,3.539731585,3.086706605,1.732611331,0.352941176,0.058823529,0.411764706,0.684765069,0.003132416,0.687897485,0.633272727,0.275747508,0.02862254,0.304370049,0.481902439
Site4,Site1,85.86027114,0.761791543,1.007958245,3.548322486,3.353110236,1.160708495,0.210526316,0.526315789,0.736842105,0.69357195,0.041088386,0.734660336,0.708636364,0.302751152,0.00211627,0.304867422,0.441089431
Site5,Site1,100.1914844,0.945975345,0.483088796,3.021018609,2.684432318,1.385776521,0.32,0.28,0.6,0.656832012,0.031716762,0.688548774,0.614272727,0.259599224,0.040723982,0.300323206,0.48895935
Site6,Site1,156.1160224,1.585107272,2.188261682,6.190334487,5.032119739,3.605275578,0.451612903,0.419354839,0.870967742,0.778257947,0.008547009,0.786804955,0.784727273,0.310271488,0.00713124,0.317402727,0.49100813
Site7,Site1,205.4543385,2.255334024,3.747202283,3.345235739,2.711599052,1.959038725,0.5,0.357142857,0.857142857,0.770273087,0.094642485,0.864915572,0.881545455,0.27756654,0.043488593,0.321055133,0.471089431
Site8,Site1,210.207759,1.456079052,1.310867977,2.956385393,2.500529938,1.577201517,0.324324324,0.513513514,0.837837838,0.715668031,0.022887979,0.73855601,0.708090909,0.300853394,0.02534709,0.326200484,0.49701626
Site9,Site1,239.7796107,1.759444596,1.287366359,3.705362712,2.323094202,2.886684284,0.777777778,0,0.777777778,0.708983324,0.129854761,0.838838085,0.860090909,0.326333638,0.04995435,0.376287987,0.497593496
Site10,Site1,253.4294933,1.156314571,0.018279036,3.978859073,3.506258254,1.880816999,0.625,0.125,0.75,0.626692456,0.069123486,0.695815942,0.670909091,0.329322698,0.088279032,0.41760173,0.58404065
Site11,Site1,267.3501511,0.929413311,0.1984581,3.533251829,2.616710015,2.374172947,0.357142857,0.357142857,0.714285714,0.629357608,0.086376332,0.71573394,0.722,0.354974927,0.062285563,0.417260491,0.544894309
Site12,Site1,518.691504,1.179981029,1.02623728,2.578064407,1.970812871,1.662020672,0.266666667,0.4,0.666666667,0.723068139,0.000570994,0.723639132,0.695727273,0.345800612,0.071476108,0.41727672,0.550463415
Site13,Site1,539.683161,1.271064791,2.120368121,4.574827309,2.732123436,3.669406824,0.352941176,0.470588235,0.823529412,0.756044392,0.040626239,0.79667063,0.796909091,0.339319728,0.095238095,0.434557823,0.631658537
Site14,Site1,570.3731582,1.625162834,2.582566591,4.034548541,3.147396619,2.524178371,0.333333333,0.4,0.733333333,0.76548585,0.039184643,0.804670493,0.816272727,0.383017636,0.051600261,0.434617897,0.593479675
Site15,Site1,633.0887631,1.917746226,2.094255213,3.564753836,1.966336261,2.973380504,0.52173913,0.217391304,0.739130435,0.763843334,0.013119815,0.776963149,0.765454545,0.391881343,0.047358834,0.439240177,0.605747967
Site16,Site1,529.7468194,1.110569251,2.527729485,3.668417963,3.078152992,1.995561203,0.545454545,0.181818182,0.727272727,0.725,0.07602459,0.80102459,0.817909091,0.341496973,0.107594937,0.44909191,0.638796748
Site17,Site1,538.6286318,0.847191078,1.838348716,3.401114236,2.68995557,2.081277752,0.461538462,0.307692308,0.769230769,0.747379763,0.028700167,0.776079929,0.778181818,0.272690383,0.088867848,0.361558231,0.492308943
Site18,Site1,539.9452647,0.980083098,1.12285504,3.439961674,3.359970989,0.737516964,0.7,0.1,0.8,0.685513673,0.029748707,0.71526238,0.683909091,0.305954539,0.122577046,0.428531586,0.593
Site19,Site1,543.655661,0.547803486,1.120243749,3.58001939,3.257407287,1.485205913,0.727272727,0.181818182,0.909090909,0.752424415,0.001521202,0.753945617,0.757363636,0.297590531,0.134282091,0.431872622,0.616487805
Site20,Site1,482.9616456,0.777749719,1.227306671,2.905692739,1.877165304,2.217949664,0.518518519,0.333333333,0.851851852,0.723619943,0.032162934,0.755782877,0.743,0.334677419,0.081989247,0.416666667,0.575788618
Site21,Site1,492.6354269,1.162736557,1.276921196,2.896694932,2.118942084,1.975076195,0.413793103,0.379310345,0.793103448,0.700371151,0.053465744,0.753836894,0.752,0.284450785,0.148359486,0.432810271,0.599918699
Site22,Site1,451.3531963,1.384832169,2.433723016,3.946618362,3.714421586,1.333742397,0.538461538,0.307692308,0.846153846,0.749537703,0.078898706,0.828436408,0.844454545,0.338213162,0.101381858,0.43959502,0.632861789
Site23,Site1,323.9795936,0.755425312,0.806888854,4.661072803,3.978888391,2.427765814,0.666666667,0.2,0.866666667,0.748204434,0.093161237,0.841365671,0.864727273,0.34914611,0.091081594,0.440227704,0.650081301
Site24,Site1,282.2545101,1.28884324,0.22979359,4.162664141,3.577730259,2.127820232,0.666666667,0.2,0.866666667,0.650587881,0.055371319,0.7059592,0.681545455,0.297426952,0.170228231,0.467655182,0.620723577
Site25,Site1,183.2139019,1.63090624,0.49614525,4.16857438,3.929082114,1.392596893,0.705882353,0.058823529,0.764705882,0.640094712,0.036108919,0.676203631,0.619363636,0.294557377,0.055737705,0.350295082,0.414658537
Site26,Site1,168.3949568,1.032380158,0.584929137,2.415788374,2.147247844,1.106959875,0.777777778,0,0.777777778,0.646879006,0.035598067,0.682477073,0.638909091,0.359316604,0.074479445,0.433796049,0.51995122
Site27,Site1,161.2322768,1.53134112,0.616264626,2.913545699,2.697198609,1.10175687,0.625,0.125,0.75,0.684324223,0.01361886,0.697943083,0.649818182,0.349496306,0.081262592,0.430758899,0.567268293
Site28,Site1,67.38957275,1.155741524,0.284630696,3.059797588,2.935453872,0.863407115,0.476190476,0.142857143,0.619047619,0.598399676,0.063709106,0.662108782,0.593454545,0.330622584,0.073190241,0.403812825,0.537162602
Site29,Site1,77.9267101,0.786667561,0.564038811,4.842896091,4.639955372,1.387247885,0.384615385,0.307692308,0.692307692,0.688480928,0.001046324,0.689527252,0.634909091,0.307375925,0.103646833,0.411022758,0.570146341
Site30,Site1,146.2688477,0.98694474,0.250683916,3.96747052,3.636569619,1.586248318,0.363636364,0.181818182,0.545454545,0.669915902,0.003631498,0.673547401,0.631363636,0.371097235,0.025869759,0.396966994,0.519747967
Site31,Site1,190.8127526,1.881289337,0.221959717,4.635590603,4.351531642,1.597771138,0.470588235,0.058823529,0.529411765,0.670521345,0.012045871,0.682567216,0.654454545,0.370408034,0.023261726,0.39366976,0.557211382
Site32,Site1,236.4850525,2.548471743,0.420417817,4.541893529,3.866875756,2.38245015,0.571428571,0.285714286,0.857142857,0.698797556,0.035087719,0.733885275,0.743090909,0.355494126,0.112646856,0.468140981,0.67895122
Site33,Site1,249.0973649,1.682942152,0.094006468,4.140114949,3.92290041,1.323406274,0.444444444,0,0.444444444,0.61023386,0.049570258,0.659804118,0.627636364,0.368285714,0.15,0.518285714,0.601853659
Site34,Site1,359.9469655,2.384123551,0.078338724,5.174407153,4.84255912,1.823214345,0.461538462,0.384615385,0.846153846,0.55109862,0.341594277,0.892692897,0.913181818,0.348637664,0.211801897,0.56043956,0.775422764
Site35,Site1,464.6642511,2.487720339,0.245461334,5.566146222,5.015242171,2.414400492,0.461538462,0.384615385,0.846153846,0.57921147,0.254719235,0.833930705,0.868818182,0.321884498,0.223404255,0.545288754,0.763138211
Site36,Site1,496.3048317,2.405019555,0.415195236,4.308711204,3.451287641,2.579458443,0.333333333,0.5,0.833333333,0.521585458,0.325675335,0.847260793,0.885181818,0.249834327,0.333664679,0.583499006,0.880300813
Site37,Site1,577.2837727,2.204182435,0.652822697,4.202095227,3.665342827,2.054961377,0.75,0.125,0.875,0.625602571,0.12501339,0.750615961,0.771636364,0.357675984,0.178106249,0.535782233,0.721723577
Site38,Site1,598.0363273,2.405485297,0.723327549,6.81567627,6.497282574,2.058825436,0.666666667,0.142857143,0.80952381,0.758264858,0.00343971,0.761704567,0.766181818,0.379604987,0.127608909,0.507213896,0.67002439
